1,13.052,13.015,12.163
2,12.325,12.308,11.56
3,11.777,11.761,11.81
4,12.093,12.125,11.996
5,12.274,12.247,11.946
6,12.229,12.185,11.769
7,12.212,12.241,12.052
8,12.44,12.428,12.125
9,12.401,12.383,12.107
10,12.273,12.314,11.94
11,12.493,12.442,12.021
12,12.472,12.54,12.115
13,12.658,12.688,12.24
14,12.76,12.719,12.227
15,12.611,12.62,12.034
16,12.556,12.491,12.101
17,12.722,12.732,12.148
18,12.657,12.64,12.123
19,12.842,12.831,12.22
20,12.669,12.671,12.177
21,12.728,12.699,12.097
22,12.687,12.694,12.086
23,12.596,12.636,12.275
24,12.824,12.812,12.336
25,12.76,12.729,12.152
26,12.736,12.797,12.134
27,12.914,12.875,12.367
28,12.91,12.913,12.279
29,12.775,12.782,12.094
30,12.662,12.748,12.09
31,12.612,12.623,12.134
32,12.725,12.732,12.185
33,12.678,12.717,12.118
34,12.84,12.846,12.158
35,12.699,12.737,12.398
36,12.77,12.781,12.071
37,12.978,13.054,12.287
38,12.963,12.938,12.272
39,12.828,12.911,12.231
40,12.741,12.772,12.271
41,12.915,12.832,12.312
42,12.679,12.674,12.236
43,12.766,12.81,12.159
44,12.918,12.845,12.206
45,12.756,12.74,12.35
46,12.888,12.855,12.328
47,12.806,12.809,12.26
48,12.873,12.889,12.315
49,12.781,12.79,12.181
50,12.732,12.751,12.216
51,12.786,12.825,12.416
52,12.72,12.697,12.258
53,12.768,12.8,12.217
54,12.77,12.866,12.209
55,12.709,12.757,12.063
56,12.691,12.744,12.271
57,12.829,12.873,12.2
58,12.746,12.734,12.313
59,12.777,12.823,12.349
60,12.853,12.856,12.275
61,12.889,12.859,12.267
62,12.778,12.731,12.11
63,12.927,12.873,12.36
64,12.907,12.879,12.228
65,12.871,12.88,12.324
66,12.788,12.834,12.272
67,12.895,12.825,12.25
68,12.776,12.838,12.277
69,12.716,12.686,12.23
70,12.75,12.822,12.054
71,12.677,12.626,12.12
72,12.791,12.837,12.145
73,12.729,12.746,12.245
74,12.885,12.913,12.185
75,12.857,12.898,12.167
76,12.712,12.679,12.191
77,12.782,12.756,12.298
78,12.902,12.876,12.451
79,12.759,12.743,12.11
80,12.849,12.903,12.228
81,12.683,12.675,12.054
82,12.67,12.704,12.193
83,12.729,12.838,12.271
84,12.736,12.778,12.169
85,12.767,12.793,12.239
86,12.62,12.656,12.085
87,12.967,12.95,12.177
88,12.924,12.912,12.399
89,12.895,12.872,12.176
90,12.703,12.732,12.222
91,12.889,12.88,12.261
92,12.826,12.832,12.306
93,12.819,12.938,12.275
94,12.972,12.987,12.365
95,12.892,12.881,12.251
96,12.95,13.006,12.344
97,12.877,12.936,12.271
98,12.757,12.796,12.302
99,12.81,12.824,12.156
100,12.916,12.955,12.469
